Municipios,Aji,Arveja a,Arveja b,Cebolla larga,cilantro a,cilantro b,Habichuela a,Habichuela b,Lechuga a,Lechuga b,Pepino a,Pepino b,Pimenton a,Pimenton b,Repollo a,Repollo b,Tomate a,Tomate b,Tomate invernadero a,Tomate invernadero b,Zanahoria A,Zanahoria B,Zapallo A,Zapallo B,Año
Jamundì,0,0,0,0,5,5,24,24,0,0,0,0,0,0,0,0,75,75,0,0,0,0,60,60,2018
La Cumbre,206.5,0,0,0,25.6,25.6,446,455,338,394,340,100,0,0,234.5,245,2315.6,2371.6,0,0,0,0,605.5,554.8,2018
La Uniòn,500,0,0,0,4.8,4.8,0,0,0,0,0,0,72,64,0,0,37.2,31,58.4,60,0,0,0,0,2018
La Victoria,200,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2018
Obando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,600,0,0,0,0,0,0,2018
Palmira,0,18.9,18.9,50,980,980,150,150,0,0,39.6,39.6,45.9,45.9,400,400,0,0,70.3,70.3,0,0,15,15,2018
Pradera,350,37.5,25,180,0,0,290,150,0,0,400,0,22.5,0,0,0,195,350,0,0,0,0,0,0,2018
Restrepo,440,0,0,0,0,0,32,30,0,0,35,36,384,500,0,0,1740,366,165,0,0,0,533,676,2018
Riofrìo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,275,150,0,0,0,0,2018
Roldanillo,182,0,0,0,0,0,280,255.5,0,0,105,77.3,594,485.5,700,560,225,180,0,0,0,0,85,85,2018
San Pedro,72,0,0,0,127.5,127.5,144,160,0,0,120,375,150,150,52.5,128,450,875,0,0,0,0,0,0,2018
Sevilla,0,280,0,0,0,37.5,300,0,0,0,0,0,0,0,0,0,0,0,450,1800,0,0,0,0,2018
Toro,288,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,150,150,0,0,0,0,0,0,2018
Trujillo,60,0,0,0,0,0,42,31.5,0,0,0,0,83,94.3,0,0,42,42,171,87.5,0,0,0,0,2018
Tuluà,0,62.5,62.5,120,48,48,150,180,10.5,17.5,24,28,20,40.3,42,112,480,570,0,0,810,825,80,120,2018
Ulloa,0,0,0,0,0,0,44.8,36,0,0,0,0,0,30,0,0,51.2,30,0,0,0,0,17,0,2018
Versalles,0,10,15,0,1.5,7.5,32,40,0,0,60,60,105,135,240,240,200,300,0,0,0,0,40,100,2018
Vijes,500,0,0,90,38.5,33.6,85,36,0,0,220,140,360,176.8,0,0,2196,832,0,0,0,0,0,0,2018
Yotoco,0,0,0,15,32,32,135,90,0,0,0,0,75,60,0,0,450,450,0,0,0,0,90,48,2018
